"Regione","Previsione","Limite Inferiore","Limite Superiore","Capienza","DataPred"
"Abruzzo",1,0,1,115,2020-07-06
"Basilicata",0,0,0,49,2020-07-06
"Calabria",0,0,0,107,2020-07-06
"Campania",0,0,2,586,2020-07-06
"Emilia-Romagna",9,3,20,629,2020-07-06
"Friuli Venezia Giulia",0,0,0,127,2020-07-06
"Lazio",9,1,15,675,2020-07-06
"Liguria",2,0,7,186,2020-07-06
"Lombardia",37,21,52,1408,2020-07-06
"Marche",0,0,0,193,2020-07-06
"Molise",0,0,0,31,2020-07-06
"Piemonte",9,2,16,560,2020-07-06
"Prov. Auton. Bolzano",0,0,2,75,2020-07-06
"Prov. Auton. Trento",0,0,2,82,2020-07-06
"Puglia",0,0,0,289,2020-07-06
"Sardegna",0,0,0,123,2020-07-06
"Sicilia",2,0,6,392,2020-07-06
"Toscana",3,0,8,464,2020-07-06
"Umbria",0,0,4,70,2020-07-06
"Valle d'Aosta",0,0,0,45,2020-07-06
"Veneto",0,0,4,938,2020-07-06
